Volatility 3 Framework 2.12.0

Offset	Name
0x6cee1a0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-RemoteAssistance-Package-Server-ua~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x6ceea60	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-minkernel~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x6ceecf0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-minkernel~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x75bd7b0	\Windows\assembly\NativeImages_v4.0.30319_64\System.Runt73a1fc9d#\96cbfd6eef291b11a5d04028360f6081\System.Runtime.Remoting.ni.dll
0x75bd9f0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-QWAVE-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x75bdc80	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-QWAVE-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x75bdf20	\$Directory
0x762aca0	\ProgramData\Microsoft\ServerManager\Events\FileServer.Events.xml
0x7941070	\$Directory
0x7a61d60	\Windows\Microsoft.NET\Framework64\v4.0.30319\WPF\PresentationNative_v0400.dll
0x7a65260	\Windows\System32\wbem\mgmtprovider.dll
0x7a65720	\$Directory
0x7a65ab0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-UX-ARW-Plugins-Package-termsrv~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x7a65e30	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-UX-ARW-Plugins-Package-printscan~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x7b11cd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-GroupPolicy-ClientTools-Package-multimedia~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x7bb6540	\Windows\WinSxS\Manifests\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.9200.16384_en-us_5797734e9e2ff26c.manifest
0x7bb9050	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-Psh-Cmdlets-Selectable-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x7bb93c0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-Psh-Cmdlets-Selectable-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x7c68f20	\Windows\System32\usercpl.dll
0x859b390	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-CoreSystem-WOW64-Com-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x859bdc0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-Gui-RSAT-Package-net~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x8824280	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-inetsrv~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x8824600	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-inetcore~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x89dd3e0	\;:0\UBUNTU-NAS\users
0x89dd530	\Windows\SysWOW64\en-US\cngcredui.dll.mui
0x89ddab0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-WOW64-Package-termsrv~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x89dde30	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-WOW64-Package-sql~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x8a08070	\$Directory
0x8c0d200	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Common-DriverClasses-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x8cbf6c0	\Windows\System32\oobe\cmisetup.dll
0x8d26500	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Portable-Devices-Package-windows~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x8d269e0	\Windows\System32\cngcredui.dll
0x928a380	\$Directory
0x928a6f0	\$Directory
0x92c5510	\Windows\System32\Drivers\en-US\USBXHCI.SYS.mui
0x92c5660	\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing\acc5b07beef536f26da664ecfc145083\System.Drawing.ni.dll
0x92c5e30	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-OEMOOBE-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x943c450	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-FullServer-ExtraFoundation-Package-termsrv~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x943c7d0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-FullServer-ExtraFoundation-Package-termsrv~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x9493450	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-BPA-Models-Package-net~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x94935a0	\Windows\System32\wbem\ndisimplatcim.dll
0x9564f20	\$Directory
0x9979070	\Windows\System32\en-US\nettrace.dll.mui
0x9b435a0	\$Directory
0x9b43910	\$Directory
0x9e44200	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-GroupPolicy-ClientTools-Package-termsrv~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x9e44810	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-root~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x9f77450	\Windows\System32\en-US\dot3svc.dll.mui
0x9fb5070	\Windows\System32\smbwmiv2.dll
0x9fb53b0	\Windows\SysWOW64\en-US\FunDisc.dll.mui
0x9fb55d0	\wkssvc
0x9fb57e0	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.9200.16384_none_418c2a697189c07f
0xa04d490	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-printscan~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0xa04d810	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-Migration-Package-printscan~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0xa3232b0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-GroupPolicy-ClientTools-Package-enduser~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0xa3239d0	\Windows\System32\Syncreg.dll
0xa323f20	\Windows\Fonts\segoeuisl.ttf
0xa48b2c0	\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe
0xa48b4b0	\Windows\System32\LogFiles\Scm\18cf7fc7-0e0b-444a-bd6f-a15cd3de6b0a
0xa48b960	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-FullServer-ExtraFoundation-Package-windows~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0xa48bce0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-FullServer-ExtraFoundation-Package-windows~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0xa48bf20	\Windows\assembly\NativeImages_v4.0.30319_64\System.Web.82d5542b#\3475c50f44413d4e4b36c4152b43b837\System.Web.RegularExpressions.ni.dll
0xadfd240	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-FullServer-ExtraFoundation-Package-admin~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
